FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE
20161201,MIA,SJU,1108,0,1434,-12,128,1045
20161201,TUL,DFW,0503,-6,0613,-7,45,237
20161201,ORD,BOS,1008,-2,1305,-16,98,867
20161201,DFW,ELP,1033,-7,1118,-11,86,551
20161201,ELP,DFW,1155,-20,1421,-39,70,551
20161201,TPA,MIA,0725,-5,0823,-11,37,204
20161201,MCO,ORD,1152,2,1353,7,144,1005
20161201,ORD,MCO,0703,3,1041,2,135,1005
20161201,ORD,DFW,0931,-4,1202,-9,120,802
20161201,TPA,DFW,0750,-10,0944,-9,148,929
20161201,MIA,SJU,0657,-8,1024,-19,128,1045
20161201,SNA,DFW,0653,-7,1147,-12,135,1205
20161201,AUS,ORD,1319,-3,1558,-3,137,977
20161201,ORD,AUS,0950,-5,1223,-19,141,977
20161201,DAY,DFW,0614,5,0749,-11,134,861
20161201,DFW,TUS,0929,19,1100,23,129,813
20161201,DFW,SEA,1029,4,1235,-17,222,1660
20161201,RDU,DFW,0654,-6,0852,-25,157,1061
20161201,STT,MIA,0922,-8,1115,-14,148,1107
20161201,BWI,DFW,0655,-5,0934,-9,190,1217
20161201,MIA,LAX,0741,21,1047,24,336,2342
20161201,MCO,MIA,1757,-3,1912,-2,47,192
20161201,MIA,MCO,1524,-6,1622,-15,36,192
20161201,DFW,PDX,1219,-6,1421,-17,224,1616
20161201,PDX,PHX,1543,8,1905,0,123,1009
20161201,JFK,SJU,0819,-1,1327,4,216,1598
20161201,SJU,JFK,1402,-13,1740,10,218,1598
20161201,ORD,LAX,1502,-3,1738,-9,236,1744
20161201,LAX,BOS,1658,83,0101,63,281,2611
20161201,IAD,LAX,1840,-3,2132,-13,315,2288
20161201,MIA,CLT,1256,-4,1447,-22,88,650
20161201,CLT,EWR,0747,-2,0926,-19,72,529
20161201,EWR,CLT,0455,-5,0655,-3,99,529
20161201,LGA,MIA,1313,13,1638,14,180,1096
20161201,LAS,LAX,1606,-2,1717,-18,43,236
20161201,RNO,DFW,0632,18,1127,-3,152,1345
20161201,STL,DFW,0742,-11,0941,-14,89,550
20161201,MIA,ATL,1959,0,2212,13,83,594
20161201,DFW,AUS,2305,45,2359,38,32,190
20161201,EWR,CLT,0759,-6,1008,-10,99,529
20161201,SFO,DFW,0553,-7,1107,-22,171,1464
20161201,MSP,PHX,0716,-4,0952,-17,177,1276
20161201,PHX,SNA,1109,-6,1132,-9,62,338
20161201,PHL,ORD,0558,-7,0717,-11,116,678
20161201,JFK,PHX,1307,-3,1652,1,320,2153
20161201,PHX,PDX,1800,-5,1946,-8,150,1009
20161201,DFW,MCI,1904,-1,2031,-8,65,460
20161201,AUS,DFW,0700,-2,0804,-6,40,190
20161201,DFW,DCA,1016,-5,1347,-21,135,1192
20161201,DFW,MSP,1505,35,1715,28,115,852
20161201,MSP,PHX,1804,24,2050,32,174,1276
20161201,PHX,SMF,2131,11,2219,-9,92,647
20161201,DFW,JAX,1206,-9,1508,-20,108,918
20161201,JAX,DFW,1603,-5,1735,-25,140,918
20161201,DCA,LAS,0758,3,1029,5,304,2089
20161201,ORD,MIA,0843,-2,1240,-13,158,1197
20161201,CLT,EWR,2043,38,2257,57,78,529
20161201,DFW,CMH,1823,-7,2136,-13,113,926
20161201,DFW,IND,1550,-5,1847,-6,95,761
20161201,IND,DFW,1938,-7,2053,-21,113,761
20161201,CLT,EWR,2310,55,0041,37,70,529
20161201,MIA,CLT,1905,-5,2113,0,90,650
20161201,AUS,DFW,1635,-1,1742,0,42,190
20161201,MCI,DFW,0555,-10,0754,1,82,460
20161201,ORD,EWR,1811,91,2146,126,97,719
20161201,LGA,MIA,2015,25,2323,21,164,1096
